gene,importance
LOC283867,0.5602759
SLC22A3,0.47764042
SPRY2,0.45672294
LRRC15,0.35424843
MMP11,0.29877102
HSD17B6,0.2937275
CXCL2,0.28640816
SDPR,0.24836121
MME,0.22876234
ART4,0.21815017
IBSP,0.21475029
UHRF1,0.1947512
MMP13,0.19401896
COL11A1,0.16018993
ADRA1A,0.13533156
GPLD1,0.11647835
P2RX6,0.11489602
ADAMTS5,0.11376605
HYAL1,0.10047392
TMTC1,0.08599225
ESYT1,0.08212506
COL10A1,0.08165189
GABARAPL1,0.07901443
PPP1R12B,0.075518616
TCF21,0.07384877
CA4,0.06894411
IGSF9,0.06865819
TFPI,0.06362556
HBA2,0.060707048
SOX12,0.05908174
DPT,0.054478865
MEOX2,0.05375396
HIF3A,0.043752123
CLEC3B,0.04364996
C4orf12,0.043029115
PCNA,0.037233323
FOXO1,0.036311623
ARHGAP20,0.032836415
F10,0.031414974
ZBTB16,0.028283533
TLN2,0.028064743
SHISA3,0.027793916
HADH,0.027664714
C1QTNF9B,0.023841076
PLD5,0.0237915
GJB2,0.022894865
CLEC5A,0.019603416
KLHL33,0.01869791
RAG1AP1,0.01712151
CES4,0.017055701
USHBP1,0.016656015
TNNT3,0.01572653
TRDN,0.014198073
TPM3,0.012763785
MASP1,0.012363071
GPBAR1,0.0121528525
PPAPDC1A,0.011086725
GRIN2B,0.010795952
GABRD,0.010005214
CALCOCO1,0.009932614
NUAK2,0.0098822275
SALL4,0.009779879
S100B,0.009736302
LHCGR,0.009726623
PKD1L2,0.009613779
STAB2,0.009284975
SYNM,0.009224212
TMC2,0.009144667
ZFP106,0.009131544
CXCL3,0.009094548
CLEC4GP1,0.008755742
PTRF,0.008625055
FLJ42875,0.00839126
C10orf90,0.008283243
SLC35A2,0.008027203
ITGA7,0.007858146
CD300LG,0.007701659
IGFBP6,0.0076436256
PAK7,0.0074647996
NPR1,0.0072127776
MRAS,0.0071471063
LYVE1,0.007033618
SLCO1A2,0.006823677
EZH2,0.006732736
CTXN1,0.0066083446
LRRTM2,0.0065823807
RNF150,0.00656074
ADHFE1,0.006544348
LRRN4CL,0.0065029734
DIXDC1,0.0064441953
CLDND2,0.0064382083
TNXB,0.0064229644
STBD1,0.006080206
CHL1,0.005981769
CTHRC1,0.00581754
CES1,0.0057766424
CNTNAP3,0.0057130265
TPO,0.005516796
TMED3,0.0053449557
DTL,0.0052703675
GPRIN1,0.0052648485
CILP2,0.005201402
JTB,0.0052009937
EEPD1,0.005186228
CD36,0.004744229
